country	review_text	taste	varieta
china	In order to marry a girlfriend, I feel like I could drink beer.		port
china	Such as the title, so it is not sure whether it is genuine.		port
china	The entrance is very refreshing and it's the same as drinking it in the wine kiln, but it's cost-effective.		port
china	It's not a cork, it's a screw cap, it's iced and it's very good, it's very floral, and it's a perfect match for a cheesecake. It would be a pity if the cork would be even more angry. However, this price is very good		port
china	Special offer more than 200 to buy, than more than 100 buy loosen that is more fragrant, more scent, but sweet a little tired, so I think it can be loosen that can be a drink to drink		riesling port
china	As one of Germany's most outstanding Riesling production areas, whether it is a 40% off or a 50% off, it will not disappoint. The aroma and sweet aroma combined perfectly with the plump and full bodied wine. It is quite pleasant to mix Cantonese cuisine or Jiangsu and Zhejiang cuisines.		riesling port
china	Not very tasting wine, but this wine tastes relatively calm, not as sour as French wine, more suitable taste.		chenin blanc port
china	Did not drink South Africa. Before ordering, check out South African wine and Nefert. Finally confirmed the Pinotage, because it is a characteristic grape variety in South Africa. The taste is very much liked. Use a professional description: This wine is ruby ​​red with purple edges. It contains ripe banana and cinnamon flavors. It is medium in bodied, well tannic and full of berry flavours.	cinnamonflavor berry ripe firm	chenin blanc port
china	Activity price 61 bottles to buy, low tannins, lighter wine, bitter taste.		chenin blanc port
china	"It's hard to get such a good entrance to Pinot Gris, if you are a ""beginner"" of red wine, you must not miss it."		port
china	Typical Italian Pinot Gris. Feel the acidity of wine is more suitable for pre-dinner, or simple salad.		port
china	The price is very competitive, but no bottle has been opened yet. I hope not to be disappointed.		port
china	The taste is rubbish, but it's really cheap and not good		port
china	Very good. Good taste. It's a lot better than the other brand you bought on Amazon last time.		chardonnay port
china	The taste can be, after the discount 80 buy OK, ws on the 55 recommended price, and then expensive is not worth it		pinot blanc port
china	There is a problem with the quality of the wine. There is an abnormal bubble and the aftertaste is very bitter. After the ice tried two, the whole bottle was lost.		pinot blanc port
china	Not very tasting wine, but this wine tastes relatively calm, not as sour as French wine, more suitable taste.		gewürztraminer port traminer
china	Did not drink South Africa. Before ordering, check out South African wine and Nefert. Finally confirmed the Pinotage, because it is a characteristic grape variety in South Africa. The taste is very much liked. Use a professional description: This wine is ruby ​​red with purple edges. It contains ripe banana and cinnamon flavors. It is medium in bodied, well tannic and full of berry flavours.	cinnamonflavor berry ripe firm	gewürztraminer port traminer
china	Activity price 61 bottles to buy, low tannins, lighter wine, bitter taste.		gewürztraminer port traminer
china	Well, I never evaluated before and I didn't know how many points were wasted. I now know that points can be exchanged for money. I must evaluate them well. Later, I copied the passage away. I can earn points, save trouble, and copy wherever I go. Where to go, the most important thing is, do not have serious comments, do not think how much worse, directly issued on it, recommend it to everyone! !		sauvignon blanc sauvignon
china	Buy twice, all broken, a bottle does not fall, the courier company did not give it directly to help me return ... ... The packaging is indeed too simple, thin paper shells wrapped in 6 bottles carrying the bottle of wine No protective measures are available, and it is a miracle if it is not shattered.		sauvignon blanc sauvignon
china	Since the first online shopping in life to buy the first book in Amazon, I haven't felt that Amazon has been with me for ten years and two years. No matter if it is my favorite books or all kinds of daily necessities, it will be found on Amazon. Purchase all kinds of crazy purchases abroad, Amazon never let me down, regardless of quality, logistics, or after-sales and customer service, spike all e-commerce (declared that really is not a child care, just an ordinary consumer), this year back home for the New Year, to the old My grandmother bought a lot of drink supplements from Amazon, direct mail home, because Amazon does not have their own express delivery in the Amazon, the agent's courier company when the two parcels seriously damaged, originally thought it would be very troublesome, but the customer service to handle the old man Girl's heart is almost old and tears fall, the New Year's people's hearts are very warm, Ren Jianghu electricity supplier all over the four, alone can not be honest with it! 2018 Forever Be Always Amazon!		sauvignon blanc sauvignon
china	This price feels great. Two bottles finished in three days		sauvignon blanc sauvignon
china	In general, I just started to drink and taste like beer		sauvignon blanc sauvignon
china	Inexpensive, Amazon's price is much better than other e-commerce providers, delivery is fast, very satisfied!		sauvignon blanc sauvignon
china	The taste is very comfortable, very good table wine is very simple and comfortable, basically do not need to sober up, there is not much tannin astringent, suitable for daily meals.		sauvignon blanc sauvignon
china	When I first drank this wine, I was also called Rose Villa. I really couldn't like it more.	roserose	sauvignon blanc sauvignon
china	Enjoy yourself with a pasta drink that feels good, thick and fruity, and tastes great!		sauvignon blanc sauvignon
china	The taste of the wine is pure, fresh and very satisfying, and the logistics is awesome.		sauvignon blanc sauvignon
china	VDP famous production, quality impress, when buying activities to burst out of the table, slightly sweet flowers. Wine novices or old drivers are suitable for summer drinks, or with hot pot, string, Sichuan cuisine did not say. Every special offer will be greeted.		riesling port
china	Famous village, wine queen Jancis Robinson praised the winery. The fruit is rich in scent, sour, refreshing, pure Riesling, and summer drinks.		riesling port
china	As stated in the description, the lime-flavored and sweet fruity aroma, I also smelled even a bit like a pyrotechnic smell? ? ! ! In short, I like the light taste and the scent is very rich.		riesling port
china	The typical taste of German Riesling is relatively cold in Germany, so it shows a clear blue fruit taste, sour, and seafood is good, individuals are not like it, but this taste is common sense		riesling port
china	Can wine be wrapped in plastic wrap? Opened his heart and saw it leaked.		riesling port
china	This wine is very good, sweet and sour, this is best to drink after the ice, a person can drink almost a bottle, engage in activities, cost-effective bursting		riesling port
china	The wine is clear and transparent, but the taste is a bit acidic		riesling port
china	Semi-sweet drink Riesling, frozen for half an hour before drinking, and barbecue is a good match.		riesling port
china	Riesling in this very representative, price is not bad, but unfortunately received is 12 years, not the picture in 2009, the actual price of wine in different years is a gap, 12 years of expensive, it should be cheaper		riesling port
china	Semi-sweet white wine, Riesling sweeter inside, good hanging cups, fresh natural taste, really good!		riesling port
china	1. The packaging is very detailed and good. 2. The taste of the wine is slightly acidic, but it tastes good.		riesling port
china	Like this wine, the taste is refreshing and the sweetness is just right.		riesling port
china	Moderate sweet and sour, orange-like fruit, and a little bit of gas, it is very suitable as a summer pre-dinner. A very cost-effective wine		riesling port
china	If you buy it and give it away, if you can have a gift package just fine		riesling port
china	Fruity and fresh, sweet, and with a few women to drink, they prefer the taste, but I personally prefer dry red.		riesling port
china	Original bottle imports, good wine, a little cheaper than JD.		riesling port
china	2016.2.11 Bing Shen Geng Biao Hai filling, the month is not ideal		riesling port
china	Like Riesling, recommend it to people who like Riesling		riesling port
china	The first choice from the packaging, this time Amazon's packaging broke, not a good time! Secondly, from the perspective of wine, the year and the product picture are worse than 3 years! Actually 2013, the picture is 2010! Then the bottle is not a cork, and it is sealed directly with the metal of the second pot. I don't like it! ! The taste of the wine is also generally like, more acidic. . . . The year is not enough! ! Maybe taste different, hope to give you a reference!		riesling port
china	Very recommended, sweet (but not too sweet) bought many bottles, liked very much		riesling port
china	Not very tasting wine, but this wine tastes relatively calm, not as sour as French wine, more suitable taste.		sauvignon blanc sauvignon port
china	Did not drink South Africa. Before ordering, check out South African wine and Nefert. Finally confirmed the Pinotage, because it is a characteristic grape variety in South Africa. The taste is very much liked. Use a professional description: This wine is ruby ​​red with purple edges. It contains ripe banana and cinnamon flavors. It is medium in bodied, well tannic and full of berry flavours.	cinnamonflavor berry ripe firm	sauvignon blanc sauvignon port
china	Activity price 61 bottles to buy, low tannins, lighter wine, bitter taste.		sauvignon blanc sauvignon port
china	Very good wine, soft entrance, good value for money		sauvignon blanc sauvignon port
china	This wine is very suitable for my taste, fruit aroma, acid balance, color is also beautiful, very satisfied		riesling
china	A fruity, rich and full-bodied, well-drinking wine.		riesling
china	The fruit is rich in aroma, a bit sour, and good to drink.		riesling
china	Currently only Riesling, sweet and sour taste, fresh fragrance		riesling
china	The Riesling white wines produced in Germany and Austria are very good reputation!		riesling
china	In this match, Carrell's Riesling is better. High acid, fruity smell is not strong, but all contained in the wine. If the bartender is cold, it will feel refreshing but sour and bitter. As the temperature rises to about 10 degrees, the bitter tail gradually disappears, but the fruit flavor begins to overflow in the mouth and the acidity reaches equilibrium. Super happy feeling!		riesling
china	I like the taste of this wine very well, the taste is very good, the color is also very beautiful, the delivery is relatively fast, satisfied		riesling
china	What wine actually arrived is actually leaking out of the wine. It's hard to drink it.		sauvignon blanc sauvignon port
china	Well-known Australian wine brands, this price can be purchased, it can be said that a good deal, Amazon imports direct purchase, do not worry about buying fake ...		sauvignon blanc sauvignon port
china	I never rated it before, I don't know how many points have been wasted. Now I know that points can be exchanged for money. I have to evaluate it well. Later, I copied the passage away. I can earn points, save trouble, and where to go. , directly issued on it, recommend it to everyone! !		sauvignon blanc sauvignon port
china	Wine is OK, not hard to drink. But it is not high-end. It is not that different from domestic ones.		sauvignon blanc sauvignon port
china	The overall taste is slightly thin and can be directly consumed		sauvignon blanc sauvignon port
china	This wine does not have an aftertaste. There is a little alcohol in the mouth.		sauvignon blanc sauvignon port
china	Believe that Merlot's taste will be lighter. Just personally don't like it.		sauvignon blanc sauvignon port
china	Good quality, worthy of a big brand product, all five points!		sauvignon blanc sauvignon port
china	This wine seconds, not worth the price, then sour. Ordinary meal wine, with aluminum cover.		sauvignon blanc sauvignon port
china	Cost-effective can also, after all, a penny and a goods.		sauvignon blanc sauvignon port
china	very bad! Many times I bought it, this time it was the worst, and the QR code could not scan the information and only came out of China Express. gosh! Destroy my trust in Central Asia! !		sauvignon blanc sauvignon port
china	Amazon's own logistics and quality are just fine. This is an aluminum lid and it tastes delicious.		sauvignon blanc sauvignon port
china	You can drink almost immediately by opening a bottle, without using a decanter, and you can shake it for a moment. The aroma is very strong, the entrance is sweet, the acidity is low, and the tannins are soft and slightly rough. After 15 minutes, the acidity begins to increase, and the sweet and sweet style can be enjoyed early. The year 2011 is just right. The wine has old ruby ​​red, and Shila's proprietary deep purple lightly proves that it has entered the prime of life. The taste is just like the year. It is one of the few Shiraz I have ever drank. Activity price 198, recommended to everyone.		sauvignon blanc sauvignon port
china	The price of the wine is not even a box, just get a cardboard box a pack, also 12 bottles together, get a bottle of broken, chat with the customer for a long time, and send pictures to the mailbox, Amazon's after-sales really is not, later bought in Amazon Things still have to be cautious		sauvignon blanc sauvignon port
china	Delivery is fast, packaging is very good, taste is OK, degree is low		sauvignon blanc sauvignon port
china	This is five degrees of alcohol between sparkling wine and sweet white. Actually, according to Chinese standards, it's not a wine. It's a normal drink. It's more appropriate to buy one get one.		sauvignon blanc sauvignon port
china	Suitable for summer ice after drinking. Five degrees of alcohol, sweet is not too tired, small fresh. Bubbles are not as long as champagne. Overall it's not bad, suitable for ladies, can be used with desserts.		sauvignon blanc sauvignon port
china	On the day of delivery, I called me. I am really surprised. However, taking into account this is still quite good to drink, the income is much higher than the price you bought last time. After all, it was during the event. In the afternoon, I couldn't help but call Amazon. The customer service phone also found me for a long time. Understand that the original order of the province, rather than hacking, sleepwalking, I feel more relieved. Surprisingly, this wine came in time. Once my sad past of drinking on New Year's Day passed, I hadn’t had wine for a long time. When I received it, I still wanted to enjoy it as a drink. Did not expect so soon. About one week apart. Lost love. Sure enough, it was time to drink again. The wine tastes very good, not drunk or vomiting. Mixed colleagues' liqueurs and red wine. Wake up in the middle of the night and can't sleep anymore, trying to drink water. In short, this is really more delicious than red wine and Likou.		port
china	It is very suitable for elderly people and their wives with poor drinking. = = The wife of an adult said that the feeling of drinking wine is very appetizing. Moreover, it does not require special sobering. The date of filling and the date of the cork on the label are not good enough. The year of brewing and the explanation of the brewing may not be correct. I do not know if it is because I do not know or why, one star is reduced...	date datetar	port
china	After buying it for some time, I drank and drank today. The scent is very light, and the tannins are a bit more. It is sour and sweet to drink, a bit astringent. Overall it is OK.		port
china	After all, it is cheaper to buy specials, taste and aftertaste is also OK. But always feel wrong. . . . . Is it less?		port
china	The bottle is very nice and the delivery is fast. When you plan to have a new year's dinner, you can drink and drink with your family who are not able to drink. The bottle is too small. Spike can buy 2 bottles just fine		port
china	I liked it. I always liked the taste and taste of Riesling. I bought two bottles. One of them was broken when it was received. Contacting customer service Amazon soon gave a return.		port
china	Excellent quality, excellent taste, very affordable prices, will buy again next time.		port
china	The bottle is exquisite, very beautiful, and the color is also very nice. For the first time, I like to drink white wine. The aroma is very liked. The astringency is really much better than the red wine, but I can't drink it but it's really fragrant! ! !		port
china	Start with specials, but now it is gone. The taste is very positive. Highly recommended		port
china	taste good. worth to buy. It took a long time to drink.		port
china	Waiting for the Chinese New Year to drink, not yet open, looks good		port
china	Good value for money. It's a bit sweet. For those who just started drinking		port
china	The taste is very good. After sobering slightly sweet! Inside and outside packaging are worth a praise!		port
china	5 semi-final friends ~ not astringent, fresh, good to drink ~ praise ~ and too little, not enough points ····		port
china	It's a drink that tastes more and more, and Riesling would be better with chicken.		port
china	Like the style of the bottle, it is in line with the female appetite		port
china	Sweetness can also be comfortable with acidity No obvious feeling of over-the-barrel, not complex enough, the degree of sustainability is a bit owed		port
china	The taste is very general, I can't feel it is imported goods.		port
china	Express delivery is very fast. When you drink at Chinese New Year, it looks very beautiful.		port
china	Thought it was ice wine, bought it was not found, but the taste is OK, it is a bit light.		port
china	Taste is positive, the aroma is floating good things		port
china	I don’t drink much at ordinary times, but this town’s entrance is very good.		port
china	Did not drink it, but it looks good, and 66 to buy, buy it on the price increases		port
china	The taste is very good and the whole family loves it		port
china	A little bit less, knowing that the weight is small, it actually looks like this.		port
china	Give it away, the packaging is good, the taste does not know		port
china	The amount is less, the taste is lighter, and generally speaking		port
china	It's sweet, it's better than some of the red wine I had before.		port
china	Haven't opened yet. When you're ready for the New Year, try your sweet drink for the first time (yes?). Look at Amazon for this product. It's cheap and quality. Hopefully, there will be a surprise. PS: The packaging is too big, a bottle of this kind of big box that can hold 4 big bags of diapers		port
china	Such as title. Amazon put it as a treasure of the town shop, not that this cargo itself a lot of top grade. It should be praised for the price/performance ratio. The actual 4.5/5 points.		port
china	Eating seafood should be very suitable. The logistics was not so fast. A few days later, a large amount of bottle was worn. . Bottle closures have serious problems. . . But when you buy yourself, you don't mind. ! Not bad, it's worth buying. (The Americas will be better.)		port
china	The first time I drink this kind of wine, I feel like I'm drinking medicine.		port
china	Almost no sense of the body's level, not sweet enough, a bit sour, a little red		port
china	It is 13 years to come, and the details are 11 years.		port
china	This wine is very light, almost no sense of the level of the body, but no Riesling, especially after the fermentation of noble rot bacteria lingering after the taste of Riesling, not to mention the gas smell of German ice wine, even the flowers and fruits The incense is completely unobvious and can only be said. If you want dozens of pieces, you can try it.		port
china	"When I bought it, I didn't notice the words ""The year is for reference only..."". The difference with the picture received was a year. Vintage years also represent value. Did not drink, I do not know how to taste. Second thing 66 yuan, although the year is inconsistent, it is also worthwhile. Please draw attention to the fact that buying wine in the Amazon must see the year. This is already the second time that the wine is bought shorter than the picture."		port
china	No ice before drinking, almost no wine, only sweet taste, feeling very general, completely worth the price		port
china	It can be known from the label that this is a German sweet white of Pradikatswein (that is, QmP, the highest level of German wine), and it is the Auslese level in QmP. (Beerenauslese), Trockenbeerenauslese and Eiswein, which is known to everybody, yes, this Riesling is not ice wine, comrades who want to buy ice wine can bypass this sweet and sweet but not greasy. Unlike some low-quality sweet whites, sweet or sweet, this wine still feels a bit sour. The balance between sweet and sour is very good. It is not syrup that can be made with alcohol, 139 bottles. The price is also very cost-effective, this sweet white half bottle, the advantage is to open a bottle of absolute can drink, even if the amount of wine like me is not enough, then 750 milliliters, then you may not drink once on the fortress on the stopper This time, the taste of the wine will be greatly reduced, which is very good. As for the method of drinking this wine, I think it should be done before the meal to make an aperitif, or eat it with a dessert after the meal, (drinking more flavor on the ice cream Good), drinking temperature is around 5 degrees Good, all in all 139 bottles price is very cost-effective, it is recommended more than two bottles of Tuen at home. Think of a bottle QmP only 70, but also what bike it ~	creamflavor thin sweet round greasy sour	port
china	Do not understand the sweet way. Drinking advanced ice wine and expensive rot have their own advantages. In this context, it still feels that this German sweet white is worth noting. Will not die sweet, scented, there is a certain level. There is a slight sour afterwards - this does not count as a feature or as a disadvantage.		port
china	Can not afford to buy ice wine to try almost the same night to receive the discovery actually is my same month on the same day decided to drink at the time of birthday seemingly after the Z sec to play the town shop treasure when the candidate for this weight is not much tight stopper taste good The stamina is still sufficient		port
china	More like sweet mouth, you can consider this. Caught 2 specials and bought 2 bottles. Because the wines made by Riesling are sweet, I like this kind of thing better, so I recommend it. Less is half of the average wine.		port
china	The taste is very good, is too little, so the cost is not high, this event is basically the cheapest time to buy a ~199 yuan 3 ~ packaging did not have to say, as always, good.		port
china	A lot of bottles were bought before and after. The family loved the taste of the wine. The bottle was quite beautiful. They saw two bottles of reduced prices and tasted sweet.		port
china	Full bodied, a little grapefruit fragrance, 375 is also suitable for people who do not drink too much.		port
china	The tall bottle body is very beautiful, sweet and greasy but not astringent and delicious.		port
china	Okay, it's not very much about wine tasting. It still feels like gold diamonds are refreshing.		port
china	The sweet taste is good, but I don't know how to drink, I just feel good		port
china	Good drink, good taste, bottle design is also very good.		port
china	Good taste, aftertaste, suitable for appetizer before drinking		port
china	It's nice to hear that there's no astringency. It's suitable for girls.		port
china	The year actually is 2014? ? ? ? ? ? ? ? ? ? ? ? ? ? ? Are you kidding me to play? Picture is 2010		port
china	German wine has always been very good, this is suitable for ladies to drink!		port
china	The bottle is a little dirty, everything else is not bad, just arrived, not taste, packaging is awesome, better than Jingdong's packaging		port
china	The amount is small, and the taste is sweet. For those who do not drink well and want to drink a little, two people drink just ~		port
china	It tastes good, the price is good, and it will be bought next time.		port
china	The wine was good, but the stopper was too hard to pull out, so it gave 4 stars.		port
china	Sweet and sour taste, the bottle looks good, alcohol prices, ice is better		port
china	Drink well, it's a bit small, I already knew more to buy! ! ! !		port
china	Feel like a normal, not a special price will not buy		port
china	Sweet with a little bit of wine taste good, suitable for girls to drink.		port
china	Good taste, taste between white Portuguese and ice wine		port
china	Statement: Not for products and distributors! February 14 arrival, after the collection of colleagues, have not opened the package, they heard the voice of broken glass, contact express, let Amazon, Amazon online self-service tips that the goods can not return! Things are not expensive, but they are in a bad mood!		port
china	Look at the big jars of other people's rice wine. Look at you again.		port
china	Drink for the first time, I feel pretty good, I didn't pick anything wrong		port
china	I haven't been willing to drink it. I like it very much. It's too small. I dare not ask too many people to taste it together. I'm afraid there isn’t enough points, haha~~~		port
china	Really feel that the liquor bought in the store is too expensive and increases the price. So very satisfied with this price. But it's not my favorite taste, it's too sweet.		port
china	The bottle was beautifully shaped and was given to old friends who had been drinking Riesling for more than 20 years.		port
china	Listening to music and drinking while chatting feels good.		port
china	It tastes like that. It's good. But waited for two months.		port
china	Not very tasting wine, but this wine tastes relatively calm, not as sour as French wine, more suitable taste.		merlot port
china	Activity price 61 bottles to buy, low tannins, lighter wine, bitter taste.		merlot port
china	Did not drink South Africa. Before ordering, check out South African wine and Nefert. Finally confirmed the Pinotage, because it is a characteristic grape variety in South Africa. The taste is very much liked. Use a professional description: This wine is ruby ​​red with purple edges. It contains ripe banana and cinnamon flavors. It is medium in bodied, well tannic and full of berry flavours.	cinnamonflavor berry ripe firm	merlot port
china	Pretty good. High cost performance. Suitable for buying again		cabernet sauvignon sauvignon port cabernet
china	Did not buy the last time to drink thick, after the taste is relatively flat, I feel it is not in the folder with the blend of wine		cabernet sauvignon sauvignon port cabernet
china	The packaging is intact, the wine has not been drunk, and the drink is evaluated		cabernet sauvignon sauvignon port cabernet
china	Both the fruit flavor of the New World red wine and the oak barrel feeling of the old world red wine.		cabernet sauvignon sauvignon port cabernet
china	From appearance to taste, higher than price, standard goods		cabernet sauvignon sauvignon port cabernet
china	Buying golden angel Montes, sent to see it turned out to be silver Very kengdie With the price of the silver logo Montes A Beijing 65 What does Amazon mean to live up to your trust?		cabernet sauvignon sauvignon port cabernet
china	It was thought that it was in 2013 and the result was only discovered when it was in 2015; the description of the year was not found at the most important product interface.		cabernet sauvignon sauvignon port cabernet
china	Excellent taste and value for money. Cork cone design, very good use		cabernet sauvignon sauvignon port cabernet
china	At this price, the taste is not as good as the collection of yellow-tailed kangaroos, which is a lot worse than the Marquis series.		cabernet sauvignon sauvignon port cabernet
china	The same price of wine, this Cabernet Sauvignon is really a conscience product.		cabernet sauvignon sauvignon port cabernet
china	The taste of the wine is very good, better than the low price of the same brand		cabernet sauvignon sauvignon port cabernet
china	Not bad, when the activity was bought, the received goods did not increase		cabernet sauvignon sauvignon port cabernet
china	The packaging is intact, the wine has not been drunk, and the drink is evaluated		port
china	It was thought that it was in 2013 and the result was only discovered when it was in 2015; the description of the year was not found at the most important product interface.		port
china	Did not buy the last time to drink thick, after the taste is relatively flat, I feel it is not in the folder with the blend of wine		port
china	Both the fruit flavor of the New World red wine and the oak barrel feeling of the old world red wine.		port
china	Pretty good. High cost performance. Suitable for buying again		port
china	Not bad, when the activity was bought, the received goods did not increase		port
china	The taste of the wine is very good, better than the low price of the same brand		port
china	The same price of wine, this Cabernet Sauvignon is really a conscience product.		port
china	Buying golden angel Montes, sent to see it turned out to be silver Very kengdie With the price of the silver logo Montes A Beijing 65 What does Amazon mean to live up to your trust?		port
china	At this price, the taste is not as good as the collection of yellow-tailed kangaroos, which is a lot worse than the Marquis series.		port
china	From appearance to taste, higher than price, standard goods		port
china	Excellent taste and value for money. Cork cone design, very good use		port
china	Clearly topped wines are still being sold, they are not processed after two-and-a-half calls and they will not be bought later.		port
china	The quality is very good, exactly the same as the description of the seller, very satisfied, really like		port
china	Haven't opened the bottle, like the brand, and come back later to comment. Buy 2 bottles of Carmeni, 2015, a rare wine at this price! When I engage in activities, I will make a lot of stocks.		port
